Name,Session,Date of Introduction,Party of Sponsors,Classification
H.R. 3771,103,02/02/1994,Democratic,control
S. 1840,103,02/09/1994,Democratic,control
H.J.Res. 422,103,09/30/1994,Democratic,control
S. 1798,103,01/25/1994,Democratic,control
H.R. 3763,103,02/02/1994,Democratic,control
H.R. 3932,103,03/01/1994,Democratic,control
H.R. 987,103,02/18/1993,Democratic,control
S. 1878,103,02/28/1994,Democratic,control
S. 854,103,04/29/1993,Democratic,control
H.R. 3263,103,10/12/1993,Democratic,control
S. 1882,103,03/01/1994,Democratic,control
H.R. 2425,103,06/15/1993,Republican,control
S. 2261,103,07/01/1994,Democratic,control
H.R. 4237,103,04/18/1994,Democratic,control
H.R. 3827,103,02/09/1994,Democratic,control
H.R. 4001,103,03/10/1994,Democratic,control
H.R. 661,103,01/27/1993,Democratic,control
H.R. 3639,103,11/22/1993,Democratic,control
H.R. 5284,103,10/07/1994,Democratic,control
S. 2443,103,09/20/1994,Democratic,control
H.R. 3406,103,10/28/1993,Democratic,control
H.J.Res. 81,103,01/27/1993,Democratic,control
H.R. 2276,103,05/26/1993,Democratic,control
S. 943,103,05/12/1993,Republican,control
S. 868,103,05/04/1993,Democratic,control
H.R. 3746,103,01/26/1994,Democratic,control
H.R. 4323,103,05/03/1994,Democratic,control
H.R. 4075,103,03/17/1994,Democratic,control
S. 892,103,05/05/1993,Republican,control
H.R. 4300,103,04/26/1994,Democratic,control
S. 1581,103,10/25/1993,Democratic,control
S. 2053,103,04/26/1994,Democratic,control
H.R. 3132,103,09/23/1993,Democratic,control
H.R. 3315,103,10/19/1993,Democratic,control
H.R. 5134,103,09/29/1994,Republican,control
H.R. 4296,103,04/25/1994,Democratic,control
H.R. 3527,103,11/17/1993,Democratic,control
H.R. 5285,103,10/07/1994,Democratic,control
H.J.Res. 357,103,04/19/1994,Democratic,control
H.R. 4032,103,03/15/1994,Democratic,control
H.Res. 355,103,02/09/1994,Democratic,control
S. 1616,103,11/03/1993,Democratic,control
H.R. 3098,103,09/21/1993,Democratic,control
H.R. 422,103,01/05/1993,Democratic,control
H.R. 3390,103,10/27/1993,Democratic,control
H.R. 5008,103,08/21/1994,Democratic,control
H.R. 4062,103,03/16/1994,Democratic,control
H.R. 4903,103,08/04/1994,Democratic,control
S.J.Res. 107,103,07/01/1993,Democratic,control
H.Con.Res. 53,103,02/24/1993,Democratic,control
H.R. 3595,103,11/20/1993,Republican,control
H.R. 4423,103,05/12/1994,Democratic,control
H.R. 2872,103,08/04/1993,Republican,control
H.R. 2455,103,06/17/1993,Democratic,control
H.R. 3521,103,11/16/1993,Democratic,control
H.R. 3125,103,09/23/1993,Republican,control
H.R. 4197,103,04/13/1994,Republican,control
S. 32,103,01/21/1993,Democratic,control
H.R. 1501,103,03/25/1993,Democratic,control
S. 1125,103,06/17/1993,Democratic,control
S. 1607,103,11/01/1993,Democratic,control
H.R. 2321,103,05/27/1993,Democratic,control
H.R. 1066,103,02/23/1993,Democratic,control
S. 1488,103,09/23/1993,Democratic,control
H.R. 2217,103,05/20/1993,Republican,control
H.R. 4848,103,07/28/1994,Republican,control
S. 2049,103,04/26/1994,Democratic,control
H.R. 4310,103,04/28/1994,Democratic,rights
H.R. 3131,103,09/23/1993,Democratic,control
S. 1356,103,08/04/1993,Republican,control
S. 1831,103,02/07/1994,Democratic,control
H.R. 3532,103,11/18/1993,Democratic,control
S. 1427,103,08/06/1993,Democratic,control
S. 8,103,01/21/1993,Republican,control
H.R. 2847,103,08/03/1993,Republican,control
H.R. 1220,103,03/04/1993,Republican,control
H.R. 4092,103,03/18/1994,Democratic,control
S. 1150,103,06/23/1993,Democratic,control
S. 2208,103,06/20/1994,Democratic,control
S. 1513,103,10/04/1993,Democratic,control
S. 2211,103,06/20/1994,Democratic,control
H.R. 4301,103,04/26/1994,Democratic,control
H.R. 5033,103,09/13/1994,Republican,rights
