Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 227,112,01/07/2011,Democratic,control,-0.9973,0.025962301587301593
H.R. 591,112,02/09/2011,Democratic,control,-0.9984,-0.011839826839826838
S. 35,112,01/25/2011,Democratic,control,-0.9993,0.0016287811650714927
S. 1973,112,12/08/2011,Democratic,control,-0.9983,0.07228224494181948
H.R. 4063,112,02/16/2012,Democratic,control,0.6597,0.08214285714285713
H.R. 2554,112,07/15/2011,Democratic,control,-0.9953,-0.022311827956989248
H.R. 1552,112,04/14/2011,Democratic,control,-0.9468,-0.1785714285714286
H.R. 1781,112,05/05/2011,Democratic,control,-0.9928,-0.009203980099502504
S. 436,112,03/02/2011,Democratic,control,-0.9904,-0.015681444991789854
H.R. 6725,112,12/31/2012,Democratic,control,0.9973,0.07509003074220469
H.Res. 187,112,03/30/2011,Democratic,control,0.9898,0.04349529780564263
S.Res. 125,112,03/31/2011,Democratic,control,0.9898,0.04349529780564263
H.Res. 612,112,03/30/2012,Democratic,control,-0.9936,-0.01878629500580721
H.R. 6313,112,08/02/2012,Democratic,control,0.9996,0.029838724445323428
H.R. 367,112,01/20/2011,Democratic,control,0.9896,0.03793498168498168
H.R. 6680,112,12/18/2012,Democratic,control,-0.896,-0.01194199134199135
S. 207,112,01/26/2011,Democratic,control,0.9925,0.15753307725138713
S. 1670,112,10/06/2011,Democratic,control,0.9995,0.05084599797365756
H.R. 3618,112,12/08/2011,Democratic,control,0.9995,0.04956383415435141
S. 919,112,05/09/2011,Democratic,control,0.9999,0.10058725182863111
H.R. 6195,112,07/25/2012,Republican,control,-0.9998,0.002380952380952377
H.Res. 490,112,12/12/2011,Republican,control,-0.9966,0.005908289241622583
H.R. 6036,112,06/27/2012,Republican,control,-0.9934,0.02207142857142857
H.R. 1093,112,03/15/2011,Republican,control,0.9897,0.04848520803670305
H.R. 1321,112,04/01/2011,Republican,control,-0.9948,0.019429771908763507
S. 1255,112,06/22/2011,Democratic,control,1.0,-0.11621094279104195
S. 2323,112,04/19/2012,Democratic,control,1.0,0.06444742895480918
S. 981,112,05/12/2011,Democratic,control,1.0,0.037042754891370766
S. 3295,112,06/14/2012,Democratic,control,1.0,0.0774324711101575
H.R. 2829,112,08/30/2011,Republican,control,1.0,0.02037729009457605
H.R. 1950,112,05/23/2011,Republican,control,1.0,0.059650607329178824
H.R. 2112,112,06/03/2011,Republican,control,1.0,0.07342060677843519
S. 1253,112,06/22/2011,Democratic,control,1.0,0.026945318707464763
S. 3578,112,09/20/2012,Democratic,control,1.0,0.1050501254052692
H.R. 1823,112,05/10/2011,Republican,control,-1.0,-0.009309828726290654
H.R. 4310,112,03/29/2012,Republican,control,1.0,0.024928068975939535
H.R. 2055,112,05/31/2011,Republican,control,1.0,0.06031210525585306
H.R. 3671,112,12/14/2011,Republican,control,1.0,0.06049128699592785
H.R. 4348,112,04/16/2012,Republican,control,1.0,0.09443924193960576
H.R. 645,112,02/10/2011,Democratic,rights,-0.978,0.04345440175315696
H.R. 1141,112,03/16/2011,Democratic,rights,0.978,0.14115079365079367
S.Res. 246,112,07/30/2011,Democratic,rights,0.9874,0.02314814814814814
S. 798,112,04/12/2011,Democratic,rights,0.9945,0.02145467836257311
S. 1691,112,10/12/2011,Democratic,rights,0.9759,0.1498015873015873
H.R. 2065,112,06/01/2011,Democratic,rights,-0.9779,-0.03550016976487564
