Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.Res. 318,113,07/25/2013,Democratic,control,-0.9987,0.09409523809523808
H.Res. 468,113,01/29/2014,Democratic,control,0.0258,0.15
H.R. 65,113,01/03/2013,Democratic,control,-0.9973,0.025962301587301593
H.R. 2665,113,07/11/2013,Democratic,control,0.9313,0.15064102564102566
H.R. 431,113,01/25/2013,Democratic,control,-0.7583,0.009488795518207286
H.R. 868,113,02/27/2013,Democratic,control,0.971,0.012596899224806198
H.R. 141,113,01/03/2013,Democratic,control,-0.9984,-0.011839826839826838
S. 22,113,01/22/2013,Democratic,control,-0.9993,0.0016691641691641743
H.R. 965,113,03/05/2013,Democratic,control,0.5106,0.1275
H.R. 2910,113,08/01/2013,Democratic,control,0.9994,0.040077451676995605
H.R. 452,113,02/04/2013,Democratic,control,-0.5719,0.008695652173913042
H.Con.Res. 102,113,06/20/2014,Democratic,control,0.908,0.030158730158730156
H.R. 332,113,01/22/2013,Democratic,control,-0.9976,-0.026649102263856365
S. 179,113,01/30/2013,Democratic,control,-0.9741,0.042234848484848486
H.R. 2465,113,06/20/2013,Democratic,control,-0.9466,0.05
H.R. 4707,113,05/21/2014,Democratic,control,-0.6037,0.075
S. 2373,113,05/21/2014,Democratic,control,-0.6037,0.075
S. 374,113,02/25/2013,Democratic,control,0.9901,0.05691161356628982
H.R. 3018,113,08/02/2013,Democratic,control,0.9979,0.08546282149223326
H.R. 236,113,01/14/2013,Democratic,control,-0.9926,0.07700617283950614
H.R. 4946,113,06/24/2014,Democratic,control,-0.5475,0.08141821946169772
S. 903,113,05/08/2013,Democratic,control,0.9604,0.047333333333333345
S. 1337,113,07/23/2013,Democratic,control,-0.5475,0.08141821946169772
H.R. 4405,113,04/04/2014,Democratic,control,-0.8402,-0.18181818181818182
H.R. 1728,113,04/25/2013,Democratic,control,0.9605,0.13702380952380952
S. 2676,113,07/29/2014,Democratic,control,-0.9842,0.020873015873015884
H.R. 21,113,01/03/2013,Democratic,control,0.9972,0.07736769403436074
H.R. 137,113,01/03/2013,Democratic,control,-0.9538,-0.011090686274509824
H.R. 227,113,01/14/2013,Democratic,control,0.9141,-0.016176470588235292
H.R. 321,113,01/18/2013,Democratic,control,-0.8038,0.02
H.R. 4806,113,06/05/2014,Democratic,control,-0.9997,0.0692091112012987
S. 2445,113,06/05/2014,Democratic,control,-0.9997,0.0692091112012987
S. 1290,113,07/11/2013,Democratic,control,-0.9349,0.1144927536231884
H.R. 5093,113,07/14/2014,Democratic,control,-0.9883,-0.035604636591478674
H.R. 1914,113,05/09/2013,Democratic,control,-0.9904,0.09414893617021276
S. 2,113,01/22/2013,Democratic,control,-0.9612,-0.008695652173913054
H.R. 793,113,02/15/2013,Democratic,control,0.9951,0.02188425609478241
S. 649,113,03/21/2013,Democratic,control,0.9991,0.05141113653699464
H.R. 1605,113,04/17/2013,Democratic,control,-0.9979,0.02889038554400591
H.R. 4783,113,05/30/2014,Democratic,control,0.9995,0.03849277543648402
S. 2872,113,09/18/2014,Democratic,control,0.9997,0.03955462791177074
H.R. 661,113,02/13/2013,Democratic,control,-0.5958,0.10405844155844157
H.R. 772,113,02/15/2013,Democratic,control,0.9932,0.049636672850958574
H.R. 427,113,01/25/2013,Democratic,control,0.7761,0.0806159420289855
H.Res. 608,113,05/30/2014,Democratic,control,-0.872,0.14375000000000002
S. 174,113,01/29/2013,Democratic,control,-0.9933,0.01769345238095237
H.R. 5454,113,09/11/2014,Democratic,control,-0.9918,-0.04169212655476392
H.R. 34,113,01/03/2013,Democratic,control,-0.896,-0.01194199134199135
S. 1038,113,05/23/2013,Democratic,control,0.9995,0.05084599797365756
H.R. 2851,113,07/30/2013,Democratic,control,0.9995,0.04956383415435141
H.R. 808,113,02/25/2013,Democratic,control,1.0,0.09328046648405927
H.R. 722,113,02/14/2013,Republican,control,-0.9998,0.002380952380952377
H.R. 1883,113,05/08/2013,Republican,control,0.9896,0.13611793611793613
H.R. 1565,113,04/15/2013,Republican,control,-0.998,0.021746834852759446
S. 150,113,01/24/2013,Democratic,control,-0.9999,0.10378294085740909
H.R. 437,113,01/29/2013,Democratic,control,-0.9999,0.1072739679020168
S. 2437,113,06/05/2014,Democratic,control,1.0,0.06644123024989465
H.R. 2124,113,05/23/2013,Democratic,control,0.9998,0.0039256082598328685
S. 1329,113,07/18/2013,Democratic,control,1.0,0.06749695665405869
H.R. 4660,113,05/15/2014,Republican,control,1.0,0.0764726054215928
S. 1284,113,07/11/2013,Democratic,control,1.0,0.07841190294768688
S. 1101,113,06/06/2013,Republican,control,1.0,0.08066206847298224
H.R. 1068,113,03/12/2013,Republican,control,1.0,0.059258142650999865
S. 1197,113,06/20/2013,Democratic,control,1.0,0.04078087214178984
H.R. 3304,113,10/22/2013,Democratic,control,1.0,0.027235350993987956
S. 1094,113,06/04/2013,Democratic,control,1.0,0.10949268057398136
H.R. 83,113,01/03/2013,Democratic,control,1.0,0.06455934571837454
H.Res. 441,113,12/12/2013,Republican,control,1.0,0.027646449272509272
H.R. 1960,113,05/14/2013,Republican,control,1.0,0.023561829628109283
H.R. 4435,113,04/09/2014,Republican,control,1.0,0.02362729584005762
H.R. 3979,113,01/31/2014,Republican,control,1.0,0.027468768838190417
H.R. 3547,113,11/20/2013,Republican,control,1.0,0.06414541406791986
H.R. 933,113,03/04/2013,Republican,control,1.0,0.05270975363330615
S. 1603,113,10/29/2013,Democratic,rights,0.9933,0.060714285714285714
H.R. 674,113,02/13/2013,Democratic,rights,0.978,0.14115079365079367
H.Res. 707,113,07/31/2014,Democratic,rights,-0.9911,0.07638162307176391
H.Res. 714,113,09/08/2014,Democratic,rights,0.9989,0.028510551948051948
S. 2254,113,04/10/2014,Democratic,rights,0.9904,0.16299783549783553
S. 309,113,02/13/2013,Democratic,rights,-0.934,0.07895908331434648
H.R. 4380,113,04/02/2014,Republican,rights,-0.7125,-0.11249999999999999
S. 2105,113,03/11/2014,Republican,rights,0.3818,0.024999999999999998
H.R. 3933,113,01/27/2014,Republican,rights,0.9811,0.15476190476190477
H.R. 2277,113,06/06/2013,Republican,rights,0.9231,0.24336734693877557
H.R. 2625,113,07/08/2013,Republican,rights,-0.9808,-0.00861678004535147
H.R. 133,113,01/03/2013,Republican,rights,0.8555,0.15833333333333333
H.R. 3689,113,12/10/2013,Republican,rights,-0.9897,0.03974130708001678
S. 130,113,01/24/2013,Republican,rights,0.9774,0.01919191919191919
H.R. 2959,113,08/01/2013,Republican,rights,0.9329,-0.008928571428571432
H.R. 1290,113,03/20/2013,Republican,rights,-0.9595,0.057479296066252586
H.R. 35,113,01/03/2013,Republican,rights,-0.7904,-0.04811827956989247
H.R. 3199,113,09/26/2013,Republican,rights,0.5719,-0.08242857142857142
