Name,Session,Date of Introduction,Party of Sponsors,Classification
H.R. 116,105,01/07/1997,Democratic,control
H.R. 4290,105,07/21/1998,Democratic,control
S. 2527,105,09/29/1998,Democratic,control
H.R. 4442,105,08/06/1998,Democratic,control
H.R. 3833,105,05/12/1998,Democratic,control
S. 796,105,05/22/1997,Democratic,control
S.Res. 264,105,07/31/1998,Democratic,control
S.Res. 141,105,10/29/1997,Democratic,control
S. 466,105,03/18/1997,Democratic,control
H.R. 2984,105,11/09/1997,Republican,rights
H.R. 2359,105,07/31/1997,Democratic,control
S. 922,105,06/17/1997,Democratic,control
S. 2128,105,06/02/1998,Republican,rights
H.R. 4073,105,06/17/1998,Democratic,control
H.J.Res. 99,105,11/06/1997,Republican,rights
H.R. 826,105,02/25/1997,Republican,control
S. 2185,105,06/17/1998,Democratic,control
H.R. 1570,105,05/08/1997,Democratic,control
S. 723,105,05/08/1997,Democratic,control
H.R. 1264,105,04/09/1997,Democratic,control
S. 658,105,04/25/1997,Democratic,control
H.R. 3949,105,05/22/1998,Republican,rights
S. 191,105,01/22/1997,Republican,control
S. 43,105,01/21/1997,Republican,control
H.R. 4146,105,06/25/1998,Democratic,control
S. 2169,105,06/12/1998,Democratic,control
S. 70,105,01/21/1997,Democratic,control
S. 763,105,05/19/1997,Republican,control
H.R. 492,105,01/21/1997,Democratic,control
H.R. 741,105,02/12/1997,Republican,control
H.R. 1009,105,03/11/1997,Republican,rights
S.Con.Res. 123,105,10/01/1998,Republican,rights
S. 989,105,07/07/1997,Democratic,control
H.Con.Res. 332,105,10/02/1998,Republican,rights
H.R. 4444,105,08/06/1998,Democratic,control
S. 1917,105,04/02/1998,Democratic,control
H.R. 1998,105,06/19/1997,Democratic,control
H.R. 2721,105,10/23/1997,Republican,rights
H.R. 278,105,01/07/1997,Democratic,control
H.R. 2734,105,10/24/1997,Republican,rights
S. 362,105,02/26/1997,Democratic,control
H.R. 810,105,02/25/1997,Democratic,control
S. 2317,105,07/16/1998,Republican,control
H.R. 1084,105,03/17/1997,Democratic,control
H.R. 787,105,02/13/1997,Democratic,control
S. 15,105,01/21/1997,Democratic,control
S. 2484,105,09/16/1998,Democratic,control
H.R. 1147,105,03/20/1997,Republican,rights
H.R. 788,105,02/13/1997,Democratic,control
S.Res. 133,105,10/09/1997,Democratic,control
S. 133,105,01/21/1997,Democratic,control
H.R. 27,105,01/07/1997,Republican,rights
S. 707,105,05/06/1997,Democratic,control
H.Con.Res. 200,105,11/13/1997,Democratic,rights
S. 2627,105,10/12/1998,Democratic,control
S. 825,105,06/03/1997,Republican,control
S. 1533,105,11/13/1997,Democratic,rights
S. 10,105,01/21/1997,Republican,control
S. 428,105,03/12/1997,Democratic,control
H.R. 1047,105,03/12/1997,Democratic,control
S. 534,105,04/09/1997,Democratic,control
H.R. 3954,105,05/22/1998,Republican,rights
S. 1111,105,07/31/1997,Democratic,control
S. 1461,105,11/08/1997,Democratic,control
H.R. 2362,105,07/31/1997,Democratic,control
H.R. 2963,105,11/08/1997,Democratic,control
H.R. 1745,105,05/22/1997,Democratic,control
H.Res. 190,105,07/17/1997,Republican,rights
H.R. 3895,105,05/19/1998,Democratic,control
H.R. 3,105,01/07/1997,Republican,control
H.R. 1996,105,06/19/1997,Democratic,control
H.R. 218,105,01/07/1997,Republican,rights
H.R. 4276,105,07/20/1998,Republican,rights
S. 1,105,01/21/1997,Republican,control
H.R. 2646,105,10/09/1997,Republican,rights
S. 2446,105,09/08/1998,Republican,control
S. 2073,105,05/13/1998,Republican,control
S. 1590,105,01/29/1998,Republican,rights
S. 1164,105,09/11/1997,Republican,control
H.R. 2378,105,08/06/1997,Republican,control
S. 450,105,03/17/1997,Republican,rights
S. 1023,105,07/16/1997,Republican,control
S. 2440,105,09/08/1998,Republican,control
S. 1061,105,07/24/1997,Republican,control
S. 2312,105,07/15/1998,Republican,control
H.R. 4274,105,07/20/1998,Republican,control
H.R. 2264,105,07/25/1997,Republican,control
H.R. 1726,105,05/22/1997,Democratic,control
H.R. 4328,105,07/24/1998,Republican,control
H.R. 3616,105,04/01/1998,Republican,control
S. 2264,105,07/06/1998,Republican,control
H.R. 1085,105,03/17/1997,Republican,control
S. 2260,105,07/02/1998,Republican,control
H.R. 1757,105,06/03/1997,Republican,rights
H.R. 4104,105,06/22/1998,Republican,rights
S. 2057,105,05/11/1998,Republican,control
H.R. 2340,105,07/31/1997,Republican,control
S. 602,105,04/17/1997,Republican,control
H.R. 424,105,01/09/1997,Republican,control
H.R. 1119,105,03/19/1997,Republican,control
S. 3,105,01/21/1997,Republican,rights
