Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.Res. 289,114,06/02/2015,Democratic,control,0.0258,0.15
H.Res. 753,114,05/25/2016,Democratic,control,-0.9984,0.1161111111111111
S.Res. 478,114,05/25/2016,Democratic,control,-0.9978,0.08869047619047618
H.Res. 473,114,10/08/2015,Democratic,control,-0.9997,-0.028086670274170288
H.R. 47,114,01/06/2015,Democratic,control,0.9313,0.15064102564102566
H.R. 2380,114,05/15/2015,Democratic,control,-0.9984,-0.011839826839826838
H.Res. 467,114,10/08/2015,Democratic,control,-0.9913,0.021689895470383278
H.R. 3926,114,11/04/2015,Democratic,control,-0.948,-0.012575757575757582
H.R. 4278,114,12/16/2015,Democratic,control,0.0618,0.013180952380952373
H.Res. 541,114,11/30/2015,Democratic,control,-0.9978,0.048717948717948725
H.R. 5863,114,07/14/2016,Democratic,control,0.8759,0.14587912087912086
H.R. 3455,114,09/09/2015,Democratic,control,-0.5719,0.008695652173913042
S. 1977,114,08/05/2015,Democratic,control,-0.9997,0.0692091112012987
H.R. 3830,114,10/26/2015,Democratic,control,-0.9976,0.034394206616428835
H.R. 3853,114,10/28/2015,Democratic,control,0.7882,0.18333333333333332
H.R. 3569,114,09/18/2015,Democratic,control,0.9873,0.11864035087719298
H.R. 4316,114,01/05/2016,Democratic,control,-0.9859,0.07500000000000001
H.R. 4315,114,01/05/2016,Democratic,control,-0.991,-0.02452380952380952
H.R. 5080,114,04/27/2016,Democratic,control,-0.9879,0.0490079365079365
H.R. 4145,114,12/01/2015,Democratic,control,0.9825,0.14675324675324675
S. 1760,114,07/14/2015,Democratic,control,-0.9879,0.0490079365079365
H.Con.Res. 59,114,06/25/2015,Democratic,control,0.908,0.030158730158730156
H.R. 2612,114,06/02/2015,Democratic,control,-0.6037,0.075
H.R. 4399,114,02/01/2016,Democratic,control,-0.6896,-0.020461309523809527
H.R. 224,114,01/08/2015,Democratic,control,-0.9466,0.05
S. 1473,114,06/02/2015,Democratic,control,-0.6037,0.075
H.R. 4214,114,12/10/2015,Democratic,control,0.998,0.08630898804166132
H.R. 4356,114,01/08/2016,Democratic,control,-0.9926,0.07700617283950614
S. 2934,114,05/16/2016,Democratic,control,-0.995,-0.0013671874999999882
H.R. 4069,114,11/18/2015,Democratic,control,-0.9819,0.058333333333333334
H.R. 3411,114,07/29/2015,Democratic,control,-0.9944,0.003294573643410848
H.R. 1858,114,04/16/2015,Democratic,control,-0.5475,0.08141821946169772
H.R. 2871,114,06/24/2015,Democratic,control,-0.7579,0.153125
H.R. 3813,114,10/22/2015,Democratic,control,-0.9842,0.020873015873015884
H.Res. 694,114,04/20/2016,Democratic,control,-0.946,0.028438228438228443
S. 2198,114,10/22/2015,Democratic,control,-0.9842,0.020873015873015884
S. 1529,114,06/09/2015,Democratic,control,-0.5475,0.08141821946169772
H.R. 3224,114,07/27/2015,Democratic,control,0.9339,-0.02022366522366522
H.R. 6052,114,09/15/2016,Democratic,control,-0.8402,-0.18181818181818182
H.R. 5532,114,06/20/2016,Democratic,control,0.836,-0.05178571428571429
H.R. 5965,114,09/08/2016,Democratic,control,0.9849,0.13229166666666667
H.R. 2939,114,06/25/2015,Democratic,control,0.9605,0.13702380952380952
H.R. 226,114,01/08/2015,Democratic,control,-0.961,0.20735449735449737
H.R. 368,114,01/14/2015,Democratic,control,0.9973,0.07891235299167314
S. 2594,114,02/25/2016,Democratic,control,-0.4803,-0.042708333333333334
H.R. 307,114,01/13/2015,Democratic,control,0.9141,-0.016176470588235292
H.R. 410,114,01/20/2015,Democratic,control,-0.9997,0.0692091112012987
H.R. 4905,114,04/12/2016,Democratic,control,0.9429,0.08951863354037272
S. 213,114,01/21/2015,Democratic,control,0.9949,0.09306318681318679
H.R. 3130,114,07/21/2015,Democratic,control,-0.8807,0.1144927536231884
S. 1738,114,07/09/2015,Democratic,control,0.9994,0.0396827272727272
H.R. 2994,114,07/09/2015,Democratic,control,0.9995,0.03765059872922769
H.R. 376,114,01/14/2015,Democratic,control,-0.9642,0.02833850931677018
H.R. 3888,114,11/03/2015,Democratic,control,-0.9655,-0.010718721796460318
H.R. 3125,114,07/21/2015,Democratic,control,-0.8788,-0.15925925925925927
H.R. 5504,114,06/16/2016,Democratic,control,-0.9887,-0.005827067669172929
H.R. 3051,114,07/14/2015,Democratic,control,-0.4466,-0.015384615384615382
S. 2213,114,10/28/2015,Democratic,control,0.6808,0.2333333333333333
